,Bridge Site,key,value
0,Gahororo,Education,164
1,Gahororo,Healthcare,150
2,Gahororo,Livelihood,266
3,Gahororo,Other,195
4,Gahororo,Worship,211
5,Kanyarira,Education,2
6,Kanyarira,Healthcare,5
7,Kanyarira,Livelihood,274
8,Kanyarira,Other,122
9,Kanyarira,Worship,56
10,Muregeya,Education,2
11,Muregeya,Healthcare,3
12,Muregeya,Livelihood,261
13,Muregeya,Other,54
14,Muregeya,Worship,5
15,Ruharazi,Education,23
16,Ruharazi,Healthcare,24
17,Ruharazi,Livelihood,44
18,Ruharazi,Other,121
19,Ruharazi,Worship,9
20,Rwamamara,Education,49
21,Rwamamara,Healthcare,28
22,Rwamamara,Livelihood,308
23,Rwamamara,Other,117
24,Rwamamara,Worship,110
25,Rwimvubu,Education,0
26,Rwimvubu,Healthcare,20
27,Rwimvubu,Livelihood,284
28,Rwimvubu,Other,141
29,Rwimvubu,Worship,20
