,Product Family,Product Name
0,Art & Collectables,Art & Collectables
1,Bedroom Furniture,Double Bed
2,Bedroom Furniture,Dresser/Drawer
3,Bedroom Furniture,Mirror
4,Bedroom Furniture,Other Bed
5,Bedroom Furniture,Queen Bed
6,Bedroom Furniture,Room Divider
7,Bedroom Furniture,Twin Bed
8,Bedroom Furniture,Wardrobe
9,Dining / Kitchen Furniture,Chair
10,Dining / Kitchen Furniture,Shelf
11,Dining / Kitchen Furniture,Sideboard
12,Dining / Kitchen Furniture,Table
13,Electronics/Appliances,Computer
14,Electronics/Appliances,Other
15,Electronics/Appliances,Television
16,Housewares & Linens,Housewares & Linens
17,Living Room,Cabinet
18,Living Room,Rug
19,Living Room,Shelf
20,Living Room,Small Chair
21,Living Room,Sofa
22,Living Room,Table
23,Living Room,Upholstered Chair
24,Living Room,Wall Unit
25,Office Furniture,Cabinet
26,Office Furniture,Chair
27,Office Furniture,Desk
