country,attended_university,pct
Afghanistan,FALSE,36.44646924829157
Afghanistan,TRUE,26.879271070615033
Afghanistan,UNKNOWN,36.674259681093396
Iran,FALSE,34.54545454545455
Iran,TRUE,48.484848484848484
Iran,UNKNOWN,16.96969696969697
Iraq,FALSE,25.301204819277107
Iraq,TRUE,46.3855421686747
Iraq,UNKNOWN,28.313253012048193
Jordan,FALSE,36.12334801762115
Jordan,TRUE,58.14977973568282
Jordan,UNKNOWN,5.726872246696035
Pakistan,FALSE,14.782608695652174
Pakistan,TRUE,41.73913043478261
Pakistan,UNKNOWN,43.47826086956522
Palestine,FALSE,15.76086956521739
Palestine,TRUE,64.1304347826087
Palestine,UNKNOWN,20.108695652173914
Somalia,FALSE,48.201438848920866
Somalia,TRUE,20.863309352517987
Somalia,UNKNOWN,30.93525179856115
Sudan,FALSE,32.23684210526316
Sudan,TRUE,34.86842105263158
Sudan,UNKNOWN,32.89473684210526
Syria,FALSE,25.41191381495564
Syria,TRUE,56.368821292775664
Syria,UNKNOWN,18.219264892268694
Turkey,FALSE,9.49367088607595
Turkey,TRUE,89.87341772151899
Turkey,UNKNOWN,0.6329113924050633
