index,year,semester,gender,student_since,rollup,time
0,2015,2H,female,19,19,2015-2H
2,2016,1H,female,33,52,2016-1H
4,2016,2H,female,120,172,2016-2H
6,2017,1H,female,110,282,2017-1H
8,2017,2H,female,260,542,2017-2H
10,2018,1H,female,145,687,2018-1H
12,2018,2H,female,301,988,2018-2H
14,2019,1H,female,444,1432,2019-1H
1,2015,2H,male,96,96,2015-2H
3,2016,1H,male,192,288,2016-1H
5,2016,2H,male,767,1055,2016-2H
7,2017,1H,male,591,1646,2017-1H
9,2017,2H,male,1022,2668,2017-2H
11,2018,1H,male,512,3180,2018-1H
13,2018,2H,male,620,3800,2018-2H
15,2019,1H,male,1228,5028,2019-1H
